[2025-04-05 19:26:03,514] 476 google_auth_oauthlib.flow - INFO - "GET /?state=HxjR3L5yxsxZS0SbEVj1hHMFLzKOTk&code=4/0Ab_5qll1_WNEoD6v-TZME2DfvBE7a4Qv1vbau2zG3iVe6ZtQcjvbGu8A32XzmmAEqdY6MQ&scope=https://www.googleapis.com/auth/gmail.readonly%20https://www.googleapis.com/auth/gmail.send%20https://www.googleapis.com/auth/gmail.labels%20https://www.googleapis.com/auth/gmail.compose%20https://www.googleapis.com/auth/gmail.modify%20https://www.googleapis.com/auth/calendar.events HTTP/1.1" 200 65
[2025-04-05 19:26:16,252] 1025 httpx - INFO - HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
[2025-04-05 19:26:16,356] 1025 httpx - INFO - HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 429 Too Many Requests"
[2025-04-05 19:26:16,357] 1048 groq._base_client - INFO - Retrying request to /openai/v1/chat/completions in 10.000000 seconds
[2025-04-05 19:26:16,507] 1025 httpx - INFO - HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
[2025-04-05 19:26:16,651] 1025 httpx - INFO - HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 429 Too Many Requests"
[2025-04-05 19:26:16,651] 1048 groq._base_client - INFO - Retrying request to /openai/v1/chat/completions in 3.000000 seconds
[2025-04-05 19:26:20,274] 1025 httpx - INFO - HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
[2025-04-05 19:26:21,352] 1025 httpx - INFO - HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
[2025-04-05 19:26:21,929] 1025 httpx - INFO - HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
[2025-04-05 19:26:22,630] 1025 httpx - INFO - HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
[2025-04-05 19:26:26,464] 1025 httpx - INFO - HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 429 Too Many Requests"
[2025-04-05 19:26:26,465] 1048 groq._base_client - INFO - Retrying request to /openai/v1/chat/completions in 1.000000 seconds
[2025-04-05 19:26:28,119] 1025 httpx - INFO - HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
[2025-04-05 19:26:28,580] 1025 httpx - INFO - HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 429 Too Many Requests"
[2025-04-05 19:26:28,581] 1048 groq._base_client - INFO - Retrying request to /openai/v1/chat/completions in 12.000000 seconds
[2025-04-05 19:26:41,231] 1025 httpx - INFO - HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
[2025-04-05 19:26:42,401] 1025 httpx - INFO - HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 429 Too Many Requests"
[2025-04-05 19:26:42,402] 1048 groq._base_client - INFO - Retrying request to /openai/v1/chat/completions in 4.000000 seconds
[2025-04-05 19:26:46,991] 1025 httpx - INFO - HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
[2025-04-05 19:26:47,605] 1025 httpx - INFO - HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
[2025-04-05 19:26:48,240] 1025 httpx - INFO - HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
[2025-04-05 19:26:49,312] 1025 httpx - INFO - HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
[2025-04-05 19:26:49,894] 1025 httpx - INFO - HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
[2025-04-05 19:26:50,611] 1025 httpx - INFO - HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
[2025-04-05 19:26:51,707] 1025 httpx - INFO - HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
[2025-04-05 19:26:52,295] 1025 httpx - INFO - HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
[2025-04-05 19:26:52,879] 1025 httpx - INFO - HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
